PassengerId,Pclass,Sex,Age,SibSp,Fare,Survived
1,3,male,22,1,7.25,0
2,1,female,38,1,71.2833,1
3,3,female,26,0,7.925,1
4,1,female,35,1,53.1,1
5,3,male,35,0,8.05,0
6,3,male,27,0,8.4583,0
7,1,male,54,0,51.8625,0
8,3,male,2,3,21.075,0
9,3,female,27,0,11.1333,1
10,2,female,14,1,30.0708,1
11,3,female,4,1,16.7,1
12,1,female,58,0,26.55,1
13,3,male,20,0,8.05,0
14,3,male,39,1,31.275,0
15,3,female,14,0,7.8542,0
16,2,female,55,0,16,1
17,3,male,2,4,29.125,0
18,2,male,25,0,13,1
19,3,female,31,1,18,0
20,3,female,27,0,7.225,1
21,2,male,35,0,26,0
22,2,male,34,0,13,1
23,3,female,15,0,8.0292,1
24,1,male,28,0,35.5,1
25,3,female,8,3,21.075,0
26,3,female,38,1,31.3875,1
27,3,male,25,0,7.225,0
28,1,male,19,3,263,0
29,3,female,35,0,7.8792,1
30,3,male,25,0,7.8958,0
31,1,male,40,0,27.7208,0
32,1,female,26,1,146.5208,1
33,3,female,30,0,7.75,1
34,2,male,66,0,10.5,0
35,1,male,28,1,82.1708,0
36,1,male,42,1,52,0
37,3,male,35,0,7.2292,1
38,3,male,21,0,8.05,0
39,3,female,18,2,18,0
40,3,female,14,1,11.2417,1
41,3,female,40,1,9.475,0
42,2,female,27,1,21,0
43,3,male,40,0,7.8958,0
44,2,female,3,1,41.5792,1
45,3,female,19,0,7.8792,1
46,3,male,23,0,8.05,0
47,3,female,8,0,7.75,1
48,1,female,49,1,76.7292,1
49,2,female,29,1,26,1
50,1,male,42,0,35.5,1
